Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ND_NC0019	100	5.09	Neural Network (Specific Model)	11	0.876	202986	308.984507964216	4841000	0.58	4583	317	553688	None
ND_NC0092	100	5.17	Neural Network (Specific Model)	11	0.882	431782	324.905073649755	4719623	0.58	4277	38	577664	None
ND_NC0107	65.67	2.62	Neural Network (Specific Model)	11	0.848	3388	213.841638225256	3310095	0.57	4395	1155	17920	None
ND_NC0147	90.7	5.09	Neural Network (Specific Model)	11	0.855	4685300	225.165839126117	4764789	0.57	6042	427	4685300	None
ND_NC0272	94.02	6.39	Neural Network (Specific Model)	11	0.877	612467	315.70244369909	4500298	0.57	4174	11	1006272	None
ND_NC0327	99.97	6.17	Neural Network (Specific Model)	11	0.881	197728	321.273868220529	4875068	0.57	4462	47	475943	None
ND_NC0329	99.87	5.97	Neural Network (Specific Model)	11	0.878	419962	316.665473260237	4829853	0.57	4469	53	818426	None
ND_NC0338	99.99	5.87	Neural Network (Specific Model)	11	0.882	497789	321.096617238184	4706625	0.57	4316	37	766751	None
ND_NC0381	76.93	4.02	Neural Network (Specific Model)	11	0.873	3158	236.885332059245	3399154	0.57	4186	1281	20005	None
ND_NC0383	95.47	5.84	Neural Network (Specific Model)	11	0.86	4491128	260.175124378109	4553920	0.57	5025	171	4491128	None
ND_NC0391	88.78	0.13	Neural Network (Specific Model)	11	0.876	175996	318.598093725179	4116066	0.57	3777	74	329180	None
ND_NC0635	100	6.82	Neural Network (Specific Model)	11	0.881	66285	309.17862006355	4632968	0.57	4406	480	206400	None
ND_NC0759	100	7.99	Neural Network (Specific Model)	11	0.877	573038	319.294941819045	4591827	0.57	4211	27	1230157	None
ND_NC0781	99.99	6.64	Neural Network (Specific Model)	11	0.881	563217	321.775446960667	4589915	0.57	4195	33	1018901	None
ND_NC0952	98.45	6.35	Neural Network (Specific Model)	11	0.878	803241	323.336311739886	4442868	0.57	4029	10	1454813	None
ND_NC0976	83.26	2.99	Neural Network (Specific Model)	11	0.825	16033	222.381696820657	4572778	0.57	5693	724	163662	None
ND_NC0982	85.7	1.43	Neural Network (Specific Model)	11	0.879	103164	322.791556728232	3750688	0.57	3411	52	376796	None
ND_NC1050	48.98	4.45	Neural Network (Specific Model)	11	0.875	6660	273.221834061135	2141628	0.57	2290	365	23855	None
ND_NC1203	99.99	9.03	Neural Network (Specific Model)	11	0.882	555060	322.305184514376	4835036	0.57	4417	45	840630	None
ND_NC1217	84.8	0	Neural Network (Specific Model)	11	0.876	636658	310.028563581434	3858122	0.56	3641	29	847820	None
ND_NC1218	84.32	0.01	Neural Network (Specific Model)	11	0.872	391519	311.240697674419	3675873	0.57	3440	28	848107	None
ND_NC1219	83.94	0.03	Neural Network (Specific Model)	11	0.87	312344	313.176206173209	3596678	0.57	3337	28	603879	None
ND_NC1220	84.01	0.13	Neural Network (Specific Model)	11	0.869	865622	312.703107658158	3882577	0.57	3604	21	1337953	None
ND_NC1221	86.13	0.16	Neural Network (Specific Model)	11	0.877	73529	310.277303988996	3852364	0.57	3635	114	276338	None
ND_NC1222	81.93	0.32	Neural Network (Specific Model)	11	0.874	278765	311.015777395295	3715292	0.57	3486	28	1470735	None
ND_NC1223	86.24	0.03	Neural Network (Specific Model)	11	0.876	410786	311.204755244755	3803000	0.57	3575	25	1265492	None
ND_NC1224	80.55	0.21	Neural Network (Specific Model)	11	0.874	791077	307.671280276817	3656813	0.57	3468	38	1068390	None
ND_NC1225	86.94	0.01	Neural Network (Specific Model)	11	0.875	266162	316.052720608965	3836797	0.57	3547	36	539530	None
ND_NC1226	86.85	0.6	Neural Network (Specific Model)	11	0.879	364634	312.619956379498	3904337	0.57	3668	25	772607	None
ND_NC1227	85.83	0.23	Neural Network (Specific Model)	11	0.871	404699	306.16338028169	3735150	0.57	3550	53	630401	None
ND_NC1228	86.74	0.04	Neural Network (Specific Model)	11	0.872	346477	317.250279329609	3900580	0.57	3580	30	671615	None
ND_NC1279	99.99	5.02	Neural Network (Specific Model)	11	0.88	163156	311.97543546226	4757068	0.57	4478	82	343891	None
ND_NC1282	100	5.68	Neural Network (Specific Model)	11	0.881	304213	319.469782071445	4833952	0.57	4451	48	665859	None
ND_NC1285	100	7.83	Neural Network (Specific Model)	11	0.882	275173	320.969696969697	4997100	0.57	4587	55	434921	None
ND_NC1296	99.99	7.8	Neural Network (Specific Model)	11	0.882	624191	317.350303292894	4973332	0.57	4616	35	1065567	None
ND_NC1299	99.99	9.96	Neural Network (Specific Model)	11	0.882	624240	317.365327062847	5043924	0.57	4678	32	1070906	None
ND_NC1301	99.98	7.67	Neural Network (Specific Model)	11	0.88	599338	321.407232704403	4871186	0.57	4452	27	1331870	None
ND_NC1307	99.99	10.25	Neural Network (Specific Model)	11	0.878	380622	314.301668806162	5009480	0.57	4674	58	856205	None
ND_NC1319	99.98	5.97	Neural Network (Specific Model)	11	0.879	141632	315.604402789887	4935758	0.57	4588	76	413025	None
ND_NC1320	99.99	6.06	Neural Network (Specific Model)	11	0.88	165007	317.208424747696	4920799	0.57	4558	94	406323	None
ND_NC1382	86.38	10.85	Neural Network (Specific Model)	11	0.658	153989	256.32077979619	5264853	0.5	4514	794	690068	None
ND_NC1435	99.98	7.53	Neural Network (Specific Model)	11	0.878	340604	322.495990836197	4805418	0.57	4365	37	965068	None
ND_NC1436	99.99	10.75	Neural Network (Specific Model)	11	0.878	652894	319.016732716865	4941257	0.57	4542	27	1024229	None
ND_NC1437	99.98	10.28	Neural Network (Specific Model)	11	0.879	302621	316.035360068995	4993362	0.57	4638	56	1453429	None
ND_NC1438	99.99	6.15	Neural Network (Specific Model)	11	0.879	302621	314.32580078982	4881194	0.57	4558	58	1453619	None
ND_NC1439	99.99	6.51	Neural Network (Specific Model)	11	0.878	561505	317.695857721747	4816620	0.57	4442	24	819632	None
ND_NC1440	99.97	10.72	Neural Network (Specific Model)	11	0.877	570189	319.302901785714	4886593	0.57	4480	25	1597622	None
ND_NC1441	99.99	10.58	Neural Network (Specific Model)	11	0.877	548736	316.303192676937	4836983	0.57	4479	26	1204238	None
ND_NC1442	99.99	11.12	Neural Network (Specific Model)	11	0.881	644313	316.917931793179	4897865	0.57	4545	40	1203254	None
ND_NC1444	99.98	7.12	Neural Network (Specific Model)	11	0.877	548705	320.561808118081	4747012	0.57	4336	25	1264020	None
ND_NC1445	99.99	14	Neural Network (Specific Model)	11	0.879	395959	319.98729543497	5063510	0.57	4644	28	929177	None
ND_NC1446	99.98	10.69	Neural Network (Specific Model)	11	0.879	344025	314.988220175626	5009272	0.57	4669	53	1453429	None
ND_NC1447	99.97	10.8	Neural Network (Specific Model)	11	0.877	252840	321.939090909091	4839259	0.57	4400	36	965068	None
ND_NC1448	99.98	5.63	Neural Network (Specific Model)	11	0.877	310781	315.166592822331	4860914	0.57	4514	54	901193	None
ND_NC1449	99.96	10.17	Neural Network (Specific Model)	11	0.874	491010	314.9514604811	5022910	0.57	4656	41	969113	None
ND_NC1450	99.98	11.41	Neural Network (Specific Model)	11	0.881	643720	319.763392857143	4870960	0.57	4480	21	1274703	None
ND_NC1451	99.98	6.91	Neural Network (Specific Model)	11	0.877	563842	317.492665312571	4804789	0.57	4431	25	1610877	None
ND_NC1454	99.99	6.33	Neural Network (Specific Model)	11	0.878	344385	317.763907139728	4951617	0.57	4566	28	1264149	None
ND_NC1455	99.99	7.41	Neural Network (Specific Model)	11	0.879	581991	318.572926162261	4761492	0.57	4388	20	1276881	None
ND_NC1456	99.97	7.71	Neural Network (Specific Model)	11	0.88	302621	314.567725210629	4956222	0.57	4629	52	1453619	None
ND_NC1457	99.99	8.88	Neural Network (Specific Model)	11	0.876	379069	315.390777224507	4978684	0.57	4619	48	677569	None
ND_NC1718	87.87	5.94	Neural Network (Specific Model)	11	0.852	93132	245.009871668312	4338911	0.57	5065	134	212210	None
ND_NC1721	85.31	1.04	Neural Network (Specific Model)	11	0.881	10446	294.362522414824	3348608	0.57	3346	456	44772	None
ND_NC1878	99.99	5.32	Neural Network (Specific Model)	11	0.88	541031	317.072283713576	4779551	0.57	4427	30	847754	None
ND_NC1890	100	5.23	Neural Network (Specific Model)	11	0.88	540823	318.994177922683	4662276	0.57	4294	26	795223	None
ND_NC2067	99.99	5.72	Neural Network (Specific Model)	11	0.878	441319	317.732991612302	4653274	0.57	4292	29	588607	None
ND_NC2075	99.98	7.47	Neural Network (Specific Model)	11	0.88	344169	319.591865689288	4599178	0.57	4229	32	721541	None
ND_NC2128	99.97	10.87	Neural Network (Specific Model)	11	0.88	210464	319.476564252074	4848449	0.57	4459	40	667602	None
ND_NC2178	99.96	10.78	Neural Network (Specific Model)	11	0.877	371350	319.579087875417	4907418	0.57	4495	29	894790	None
ND_NC2180	99.98	10.45	Neural Network (Specific Model)	11	0.876	393507	318.34420131291	4973525	0.57	4570	28	1020137	None
ND_NC2184	99.97	11.46	Neural Network (Specific Model)	11	0.878	529016	318.329152249135	5018464	0.57	4624	24	1062110	None
ND_NC2186	99.99	6.11	Neural Network (Specific Model)	11	0.876	371350	319.650011566042	4723031	0.57	4323	31	651853	None
ND_NC2195	99.99	6.02	Neural Network (Specific Model)	11	0.876	260611	314.319262386136	4834799	0.57	4501	35	583862	None
ND_NC2198	99.92	7.98	Neural Network (Specific Model)	11	0.878	101862	313.784013976851	4900164	0.57	4579	80	356814	None
ND_NC2205	99.91	6.66	Neural Network (Specific Model)	11	0.878	98725	313.894366197183	4866267	0.57	4544	80	356814	None
ND_NC2206	99.91	7.99	Neural Network (Specific Model)	11	0.878	98725	313.514628820961	4897678	0.57	4580	82	356814	None
ND_NC2208	99.92	6.07	Neural Network (Specific Model)	11	0.878	101862	314.47610619469	4848170	0.57	4520	81	356814	None
ND_NC2210	99.95	6.51	Neural Network (Specific Model)	11	0.878	101862	313.97489539749	4862629	0.57	4541	79	356814	None
ND_NC2212	99.92	7.99	Neural Network (Specific Model)	11	0.878	102349	313.772389689821	4899980	0.57	4578	80	356814	None
ND_NC2215	99.92	7.98	Neural Network (Specific Model)	11	0.878	102349	313.739899541385	4899823	0.57	4579	79	356815	None
ND_NC2217	99.95	6.41	Neural Network (Specific Model)	11	0.878	98725	314.718973214286	4806517	0.57	4480	79	356814	None
ND_NC2224	99.98	11.38	Neural Network (Specific Model)	11	0.877	548583	315.038410886743	4900052	0.57	4556	27	825056	None
ND_NC2225	99.94	5.05	Neural Network (Specific Model)	11	0.877	92097	311.703687348201	4820065	0.57	4529	99	240747	None
ND_NC2227	99.97	10.42	Neural Network (Specific Model)	11	0.879	203326	318.73764832794	5035841	0.57	4635	44	796505	None
ND_NC2229	99.96	10.49	Neural Network (Specific Model)	11	0.877	643471	319.846565566459	4899157	0.57	4484	28	1117236	None
ND_NC2241	99.97	5.51	Neural Network (Specific Model)	11	0.877	405342	318.039619651347	4797127	0.57	4417	37	613212	None
ND_NC2244	99.96	5.15	Neural Network (Specific Model)	11	0.877	371193	314.080666666667	4824392	0.57	4500	40	748546	None
ND_NC2245	99.99	10.87	Neural Network (Specific Model)	11	0.878	512287	323.999775684163	4929212	0.57	4458	28	667796	None
ND_NC2251	99.97	5.25	Neural Network (Specific Model)	11	0.878	371195	314.582910134688	4860994	0.57	4529	42	674670	None
ND_NC2253	99.99	6.4	Neural Network (Specific Model)	11	0.877	512287	323.052151543499	4717187	0.57	4276	25	1191416	None
ND_NC2263	99.99	11.81	Neural Network (Specific Model)	11	0.877	393508	315.149621621622	4976946	0.57	4625	44	875526	None
ND_NC2264	99.98	13.98	Neural Network (Specific Model)	11	0.877	529433	319.372715682108	5130608	0.57	4706	31	1036084	None
ND_NC2267	99.98	11.5	Neural Network (Specific Model)	11	0.878	321048	319.180402336145	5031592	0.57	4623	41	988978	None
ND_NC2268	99.99	10.75	Neural Network (Specific Model)	11	0.878	321048	318.162275846801	4904614	0.57	4517	46	723157	None
ND_NC2270	99.97	10.99	Neural Network (Specific Model)	11	0.878	321924	320.201348314607	4861773	0.57	4450	33	822450	None
ND_NC2271	99.98	7.15	Neural Network (Specific Model)	11	0.877	529433	317.44701912261	4821693	0.57	4445	29	1035988	None
ND_NC2274	99.98	5.64	Neural Network (Specific Model)	11	0.877	382042	314.826280623608	4827131	0.57	4490	60	875526	None
ND_NC2275	99.98	11.25	Neural Network (Specific Model)	11	0.876	393503	315.789813023856	5022733	0.57	4653	37	978422	None
ND_NC2277	99.99	10.64	Neural Network (Specific Model)	11	0.877	382042	314.810015374478	4895977	0.57	4553	49	684879	None
ND_NC2278	99.98	10.98	Neural Network (Specific Model)	11	0.877	382042	315.089665653495	4955198	0.57	4606	49	684879	None
ND_NC2281	99.99	10.9	Neural Network (Specific Model)	11	0.877	382042	314.805112519117	4919816	0.57	4577	48	875526	None
ND_NC2284	99.96	10.78	Neural Network (Specific Model)	11	0.877	643471	319.744770805518	4909855	0.57	4494	27	1061573	None
ND_NC2290	99.92	7.77	Neural Network (Specific Model)	11	0.877	93840	312.137288869641	4919613	0.57	4618	102	276719	None
ND_NC2301	99.97	10.96	Neural Network (Specific Model)	11	0.881	498452	319.532100108814	4993483	0.57	4595	31	1090867	None
ND_NC2355	99.99	5.38	Neural Network (Specific Model)	11	0.88	361448	322.071094480823	4685627	0.57	4276	52	688292	None
ND_NC2369	99.97	7.88	Neural Network (Specific Model)	11	0.88	275286	316.172686230248	4768545	0.57	4430	39	532214	None
ND_NC2406	99.91	9.64	Neural Network (Specific Model)	11	0.879	280435	317.399249613772	4897923	0.57	4531	50	484970	None
ND_NC2407	99.99	6.58	Neural Network (Specific Model)	11	0.879	267901	318.292559063811	4914257	0.57	4529	51	599555	None
ND_NC2408	99.97	5.76	Neural Network (Specific Model)	11	0.882	191422	326.531940733544	4564429	0.57	4117	43	749104	None
ND_NC2409	99.97	8.89	Neural Network (Specific Model)	11	0.878	232326	317.919112704459	4838621	0.57	4463	51	546155	None
ND_NC2528	99.99	7.23	Neural Network (Specific Model)	11	0.88	512662	322.204320845783	4770188	0.57	4351	34	1019099	None
ND_NC2552	99.99	5.55	Neural Network (Specific Model)	11	0.881	543463	319.663765460376	4746341	0.57	4366	33	793520	None
ND_NC2632	99.99	5.43	Neural Network (Specific Model)	11	0.88	333251	317.957673208796	4576403	0.57	4229	55	626849	None
ND_NC2643	99.99	5.44	Neural Network (Specific Model)	11	0.878	164972	317.387330528284	4631741	0.57	4278	52	524356	None
ND_NC2694	88.8	0.5	Neural Network (Specific Model)	11	0.882	15754	306.795616717635	4089414	0.57	3924	349	74192	None
ND_NC2697	94.68	6.63	Neural Network (Specific Model)	11	0.855	4789374	231.130152547874	4985543	0.56	6162	569	4789374	None
ND_NC2698	93.14	6.02	Neural Network (Specific Model)	11	0.85	4610279	215.521582733813	4850447	0.56	6394	768	4610279	None
ND_NC2749	77.74	0.09	Neural Network (Specific Model)	11	0.855	11551	272.143900459832	3520600	0.57	3697	409	46688	None
ND_NC2772	89.81	0.41	Neural Network (Specific Model)	11	0.868	12610	279.778654177964	3915766	0.57	4057	471	49500	None
ND_NC2773	85.65	2.57	Neural Network (Specific Model)	11	0.864	13612	278.800754716981	3837494	0.57	3975	392	53893	None
ND_NC2774	73.99	3.89	Neural Network (Specific Model)	11	0.888	3009	254.383349705305	3491229	0.58	4072	1334	17044	None
ND_PM0006	95.47	5.84	Neural Network (Specific Model)	11	0.86	4491128	260.089516610304	4553920	0.57	5027	171	4491128	None
ND_PM0015	100	13.32	Neural Network (Specific Model)	11	0.854	529229	258.147603227337	5718477	0.53	6321	1779	2007809	None
ND_PM0021	90.7	5.09	Neural Network (Specific Model)	11	0.855	4685300	225.16203243959	4764789	0.57	6042	427	4685300	None
ND_PM0055	100	5.9	Neural Network (Specific Model)	11	0.882	138330	319.973196881092	4458306	0.57	4104	75	396846	None
ND_PM0075	99.98	11.41	Neural Network (Specific Model)	11	0.881	643720	319.736889087257	4870960	0.57	4481	21	1274703	None
ND_PM0079	99.99	6.15	Neural Network (Specific Model)	11	0.879	302621	314.239035087719	4881194	0.57	4560	58	1453619	None
ND_PM0101	87.4	1.43	Neural Network (Specific Model)	11	0.985	3312282	270.045928500497	3312282	0.58	4028	1	3312282	None
ND_PM0120	99.99	7.41	Neural Network (Specific Model)	11	0.879	581991	318.572926162261	4761492	0.57	4388	20	1276881	None
ND_PM0146	100	6.2	Neural Network (Specific Model)	11	0.867	267207	215.819755058573	5595266	0.57	7512	3166	1387575	None
ND_PM0181	100	21.41	Neural Network (Specific Model)	11	0.87	115238	173.154333008763	7341510	0.56	12324	7497	429475	None
ND_PM0204	100	9.87	Neural Network (Specific Model)	11	0.861	259500	178.636263845924	6224333	0.57	10021	5990	748833	None
ND_PM0206	100	10.76	Neural Network (Specific Model)	11	0.869	185903	201.282325684025	6284638	0.57	9064	4499	507426	None
ND_PM0437	100	7.99	Neural Network (Specific Model)	11	0.877	573038	319.288055093802	4591827	0.57	4211	27	1230157	None
ND_PM0484	99.98	6.91	Neural Network (Specific Model)	11	0.877	563842	317.500564206725	4804789	0.57	4431	25	1610877	None
ND_PM0486	77.74	0.09	Neural Network (Specific Model)	11	0.856	11551	272.118712817739	3520600	0.57	3698	409	46688	None
ND_PM0487	85.7	1.43	Neural Network (Specific Model)	11	0.879	103164	322.867741935484	3750688	0.57	3410	52	376796	None
ND_PM0688	99.99	6.39	Neural Network (Specific Model)	11	0.878	344385	317.765878230399	4951617	0.57	4566	28	1264149	None
ND_PM0793	99.99	6.64	Neural Network (Specific Model)	11	0.881	563217	321.788557806913	4589915	0.57	4195	33	1018901	None
ND_PM0915	100	5.09	Neural Network (Specific Model)	11	0.876	202986	308.649084568439	4841000	0.58	4588	317	553688	None
ND_PM1036	99.99	9.03	Neural Network (Specific Model)	11	0.882	555060	322.361186594203	4835036	0.57	4416	45	840630	None
ND_PM1044	99.99	5.68	Neural Network (Specific Model)	11	0.882	367696	319.965140599582	4677745	0.57	4303	31	1534755	None
ND_PM1086	99.85	9.29	Neural Network (Specific Model)	11	0.879	328243	313.760119301236	5016653	0.57	4694	54	529644	None
ND_PM1109	99.99	5.02	Neural Network (Specific Model)	11	0.88	163156	312.035291489837	4757068	0.57	4477	82	343891	None
ND_PM1116	100	7.83	Neural Network (Specific Model)	11	0.882	275173	320.938971229294	4997100	0.57	4588	55	434921	None
ND_PM1120	99.99	9.96	Neural Network (Specific Model)	11	0.882	624240	317.252136752137	5043924	0.57	4680	32	1070906	None
ND_PM1124	99.98	7.67	Neural Network (Specific Model)	11	0.88	599338	321.417115902965	4871186	0.57	4452	27	1331870	None
ND_PM1130	99.99	10.25	Neural Network (Specific Model)	11	0.878	380622	314.356944147229	5009480	0.57	4673	58	856205	None
ND_PM1136	99.98	5.97	Neural Network (Specific Model)	11	0.879	141632	315.471357002832	4935758	0.57	4591	76	413025	None
ND_PM1137	99.99	6.06	Neural Network (Specific Model)	11	0.88	165007	317.077192982456	4920799	0.57	4560	94	406323	None
ND_PM1153	100	5.7	Neural Network (Specific Model)	11	0.881	304213	319.353548966757	4833952	0.57	4452	48	665859	None
ND_PM1163	99.99	7.8	Neural Network (Specific Model)	11	0.882	624191	317.371967071057	4973332	0.57	4616	35	1065567	None
ND_PM1180	8.68	0	Neural Network (Specific Model)	11	1223.925	212	270.028806584362	212	0.52	243	1	212	None
ND_PM1181	4.02	0	Neural Network (Specific Model)	11	737.35	203	253.635714285714	203	0.53	140	1	203	None
ND_PM1182	8.59	0	Neural Network (Specific Model)	11	1883.075	212	311.161137440758	212	0.62	422	1	212	None
ND_PM1183	7.15	0	Neural Network (Specific Model)	11	1683.27	204	283.525974025974	204	0.51	308	1	204	None
ND_PM1235	80.49	0.21	Neural Network (Specific Model)	11	0.873	791077	308.213522103438	3656813	0.57	3461	38	1068390	None
ND_PM1237	99.99	7.48	Neural Network (Specific Model)	11	0.877	633009	318.844434409573	4824882	0.57	4429	18	1101996	None
ND_PM1238	100	5.83	Neural Network (Specific Model)	11	0.876	549069	317.370066164727	4753179	0.57	4383	22	1094894	None
ND_PM1242	100	7.76	Neural Network (Specific Model)	11	0.876	562837	316.251871422281	4911735	0.57	4542	30	1121401	None
ND_PM1247	95.98	16.19	Neural Network (Specific Model)	11	0.88	628574	322.965954606142	4938336	0.57	4494	11	1148729	None
ND_PM1279	86.75	0.04	Neural Network (Specific Model)	11	0.872	346477	317.404695360537	3900580	0.57	3578	30	671615	None
ND_PM1309	99.98	5.26	Neural Network (Specific Model)	11	0.88	369207	317.698993595608	4725759	0.57	4372	43	510907	None
ND_PM1380	99.98	5.26	Neural Network (Specific Model)	11	0.88	369207	317.698993595608	4725759	0.57	4372	43	510907	None
ND_PM1510	6.43	0	Neural Network (Specific Model)	11	1061.299	201	302.252688172043	201	0.54	186	1	201	None
ND_PM1511	5.59	0	Neural Network (Specific Model)	11	1103.108	204	282.009661835749	204	0.53	207	1	204	None
ND_PM1574	94.02	6.39	Neural Network (Specific Model)	11	0.877	612467	315.70244369909	4500298	0.57	4174	11	1006272	None
ND_PM1581	98.46	6.35	Neural Network (Specific Model)	11	0.878	803241	323.362620997766	4442868	0.57	4029	10	1454813	None
ND_PM1608	99.99	6.02	Neural Network (Specific Model)	11	0.876	260611	314.308153743613	4834799	0.57	4501	35	583862	None
ND_PM1627	99.97	11.46	Neural Network (Specific Model)	11	0.879	529016	318.280216216216	5018464	0.57	4625	24	1062110	None
